Name,Pos,Team,Age,Contract,Exp,Ovr,Pot,Hgt,Str,Spd,End,ThV,ThP,ThA,BSc,Elu,RtR,Hnd,RBk,PBk,PCv,Tck,PRs,RnS,KPw,KAc,PPw,PAc,OvrQB,PotQB,OvrRB,PotRB,OvrWR,PotWR,OvrTE,PotTE,OvrOL,PotOL,OvrDL,PotDL,OvrLB,PotLB,OvrCB,PotCB,OvrS,PotS,OvrK,PotK,OvrP,PotP,OvrKR,PotKR,OvrPR,PotPR
Tyler Henderson,K,TOK,29,500000,2027,58,58,42,36,40,87,0,21,0,0,0,0,0,0,0,34,9,0,5,92,39,29,12,2,2,6,6,0,0,3,3,6,6,10,10,13,13,15,15,16,16,58,58,4,4,19,19,14,14
Lewis Buscher,K,RIO,29,500000,2028,72,72,20,23,49,73,20,28,50,2,2,4,2,2,3,30,2,7,2,85,75,50,30,16,16,6,6,2,2,2,2,2,2,4,4,8,8,17,17,16,16,72,72,19,19,27,27,20,20
Alex Wood,K,SD,32,500000,2027,61,61,34,6,2,29,2,11,16,8,2,2,2,2,2,6,10,2,2,83,54,27,28,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,61,61,10,10,2,2,2,2
Chris Miles,K,CHI,31,500000,2025,51,51,15,8,18,11,14,28,19,26,0,0,0,0,11,22,3,3,18,82,43,60,28,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,51,51,24,24,5,5,6,6
Jeff Figueroa,K,DEL,31,500000,2025,69,69,20,2,34,23,6,10,19,4,6,2,3,0,1,0,5,4,0,81,73,49,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,69,8,8,14,14,10,10
Jared James,K,CAI,34,500000,2025,35,35,8,1,35,1,23,16,22,1,17,1,1,1,11,7,14,1,5,81,23,15,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,35,35,1,1,14,14,9,9
Bryan Price,K,SA,40,500000,2026,69,69,36,2,2,2,2,26,17,2,2,2,2,2,20,21,2,10,2,79,72,25,13,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,69,69,4,4,2,2,2,2
Matthew Woods,K,MIN,33,500000,2026,62,62,14,0,1,5,11,21,16,0,0,0,10,0,0,24,0,22,0,78,57,29,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,62,7,7,0,0,0,0
Rick Ray,K,PHO,30,500000,2028,61,61,28,4,1,12,11,2,1,1,1,5,2,1,1,13,1,1,14,77,59,40,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,61,61,5,5,1,1,1,1
Taylor Fredrick,K,ABQ,25,500000,2026,43,47,5,24,36,21,11,22,37,27,32,17,15,2,9,9,11,2,6,77,39,25,59,10,12,13,14,2,6,2,3,2,6,2,3,4,8,3,5,5,7,43,47,21,25,19,23,18,19
Mykal Johnson,K,VB,33,500000,2025,35,35,38,8,18,42,40,44,16,7,1,3,18,1,1,22,7,1,1,77,27,23,19,15,15,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,35,35,5,5,2,2,1,1
