Name,Pos,Team,Age,Contract,Exp,Ovr,Pot,Hgt,Str,Spd,End,ThV,ThP,ThA,BSc,Elu,RtR,Hnd,RBk,PBk,PCv,Tck,PRs,RnS,KPw,KAc,PPw,PAc,OvrQB,PotQB,OvrRB,PotRB,OvrWR,PotWR,OvrTE,PotTE,OvrOL,PotOL,OvrDL,PotDL,OvrLB,PotLB,OvrCB,PotCB,OvrS,PotS,OvrK,PotK,OvrP,PotP,OvrKR,PotKR,OvrPR,PotPR
Kane Riley,P,SEL,30,500000,2029,75,75,58,9,12,38,0,6,38,32,12,0,22,0,6,23,0,28,3,39,36,70,100,10,10,2,2,6,6,6,6,0,0,4,4,0,0,1,1,0,0,17,17,75,75,1,1,3,3
Jeff Johnson,P,IST,30,500000,2027,51,51,19,0,8,23,15,0,23,35,12,4,0,12,0,13,5,0,0,42,18,31,94,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,51,51,0,0,1,1
Joey Howey,P,WPG,24,500000,2028,68,73,24,24,32,30,19,22,3,18,11,19,0,6,9,15,6,14,23,20,18,59,92,4,11,5,10,0,5,1,6,2,6,7,11,7,11,4,9,5,11,3,7,68,73,15,19,13,17
Brian Johnson,P,BKN,34,500000,2026,53,53,48,7,6,0,11,10,0,0,0,0,5,0,4,0,0,0,0,7,19,36,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,53,0,0,0,0
Jayden Butts,P,BEI,24,570000,2029,71,81,26,3,34,16,7,12,16,17,0,8,0,1,0,20,7,9,42,38,27,70,87,1,5,0,4,0,4,0,4,0,6,3,9,4,6,7,12,6,13,14,21,71,81,17,24,14,21
Derrick Smith,P,MLB,30,620000,2026,75,75,33,12,24,54,10,26,30,0,0,23,1,0,0,0,3,0,0,37,13,83,86,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,75,75,5,5,2,2
Chase Brooks,P,NYC,26,500000,2028,68,68,16,3,35,22,56,4,18,37,9,0,13,0,0,5,0,3,5,76,28,64,85,10,11,3,6,0,0,0,1,0,3,0,1,0,0,1,4,1,2,35,38,68,68,21,21,20,21
Jonathan Stevens,P,ROM,29,500000,2029,72,72,17,57,27,24,0,5,0,34,2,0,1,0,5,1,0,0,0,39,3,77,84,0,0,8,8,0,0,2,2,9,9,8,8,8,8,0,0,0,0,5,5,72,72,15,15,16,16
Jared Beatty,P,OTT,26,500000,2029,68,69,27,16,36,62,17,23,12,17,4,0,6,0,0,4,0,3,1,30,33,67,83,6,7,3,5,0,3,0,1,0,3,1,4,1,4,1,4,2,3,13,15,68,69,19,21,16,18
Jamie Chavez,P,SJ,27,500000,2025,42,42,47,1,53,17,19,2,6,3,1,0,0,1,18,2,8,0,5,21,66,35,79,3,3,4,4,0,0,0,0,1,2,4,4,6,6,8,8,9,10,23,23,42,42,35,36,23,23
Gary Solomon,P,NJ,22,500000,2025,63,79,18,30,35,38,5,20,17,9,0,6,8,18,0,6,0,0,0,41,14,59,78,3,12,4,8,0,7,2,6,3,11,2,11,3,11,1,9,3,12,10,20,63,79,17,26,13,22
