Name,Pos,Team,Age,Contract,Exp,Ovr,Pot,Hgt,Str,Spd,End,ThV,ThP,ThA,BSc,Elu,RtR,Hnd,RBk,PBk,PCv,Tck,PRs,RnS,KPw,KAc,PPw,PAc,OvrQB,PotQB,OvrRB,PotRB,OvrWR,PotWR,OvrTE,PotTE,OvrOL,PotOL,OvrDL,PotDL,OvrLB,PotLB,OvrCB,PotCB,OvrS,PotS,OvrK,PotK,OvrP,PotP,OvrKR,PotKR,OvrPR,PotPR
Ben Smith,P,KEN,24,500000,2029,71,77,43,27,38,28,14,27,8,14,0,13,9,2,1,9,4,0,15,33,45,72,86,8,12,6,7,1,6,6,9,4,7,9,13,8,12,5,7,6,12,18,25,71,77,20,24,17,20
Pat Riley,P,IST,33,500000,2025,65,65,28,0,12,10,8,8,9,0,0,0,10,8,0,10,15,0,0,35,28,58,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,65,65,0,0,0,0
Austin Reynolds,P,HAW,26,820000,2028,71,71,38,27,39,16,28,17,22,30,4,1,0,0,3,23,7,0,1,45,17,76,83,13,14,7,7,0,3,1,1,4,4,7,7,9,12,10,13,11,12,12,12,71,71,24,24,22,26
Brandon Barrett,P,EDM,30,500000,2027,70,70,35,21,35,29,15,5,0,0,4,0,1,5,1,16,0,4,24,34,17,76,80,0,0,3,3,0,0,0,0,1,1,7,7,5,5,6,6,6,6,8,8,70,70,15,15,10,10
Chris Dubar,P,SD,28,500000,2025,53,53,32,3,15,43,6,32,17,19,1,0,0,0,14,4,6,0,0,48,6,47,79,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,53,53,1,1,1,1
Gabe Morris,P,OTT,30,500000,2026,43,43,27,0,8,14,0,26,9,28,0,0,1,0,0,16,0,0,0,32,5,37,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,43,43,0,0,0,0
Andrew Cardwell,P,QUE,31,500000,2025,38,38,31,28,32,30,34,23,5,20,4,1,18,4,0,27,15,4,0,40,25,29,79,9,9,6,6,1,1,5,5,2,2,6,6,9,9,9,9,11,11,14,14,38,38,16,16,14,14
Jeff McLaurin,P,MON,26,500000,2028,56,58,29,27,27,60,21,14,10,1,0,15,6,6,0,17,0,15,0,33,41,51,78,4,6,1,2,0,0,2,3,2,4,4,6,3,3,3,4,3,3,17,18,56,58,8,9,5,5
Jamal Willis,P,SF,35,500000,2029,70,70,34,4,0,0,3,1,17,17,0,0,0,0,0,16,0,0,0,26,13,79,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,70,70,0,0,0,0
Nathan Smith,P,ABQ,26,500000,2026,39,39,26,20,49,46,19,16,25,14,0,21,0,1,0,30,0,10,5,31,16,33,77,9,9,6,9,0,0,0,2,0,2,5,5,7,7,16,16,15,15,7,7,39,39,33,36,24,25
