Name,Pos,Team,Age,Contract,Exp,Ovr,Pot,Hgt,Str,Spd,End,ThV,ThP,ThA,BSc,Elu,RtR,Hnd,RBk,PBk,PCv,Tck,PRs,RnS,KPw,KAc,PPw,PAc,OvrQB,PotQB,OvrRB,PotRB,OvrWR,PotWR,OvrTE,PotTE,OvrOL,PotOL,OvrDL,PotDL,OvrLB,PotLB,OvrCB,PotCB,OvrS,PotS,OvrK,PotK,OvrP,PotP,OvrKR,PotKR,OvrPR,PotPR
Tony Archie,K,ATH,26,1140000,2027,75,77,31,18,55,44,37,13,21,18,28,0,0,0,0,30,24,0,0,90,86,38,31,14,15,15,16,0,0,0,0,1,3,7,7,15,17,19,22,22,23,75,77,15,17,41,42,31,32
Devontae Parker,K,ORL,24,560000,2025,75,82,39,15,44,63,20,19,6,30,5,0,12,3,3,34,0,1,0,84,93,28,17,8,12,8,9,1,7,3,7,1,6,3,7,5,11,17,23,14,22,75,82,6,8,30,37,25,31
Matt Jackson,K,LIS,32,500000,2025,53,53,27,24,16,33,25,50,3,3,14,3,3,13,0,41,0,7,18,84,43,32,16,10,10,1,1,0,0,0,0,0,0,3,3,2,2,8,8,6,6,53,53,7,7,0,0,0,0
Cain Fitzner,K,KAU,23,650000,2026,70,82,36,8,42,46,6,6,25,19,0,0,0,18,9,27,0,15,0,83,73,24,23,5,12,3,6,0,8,0,6,1,6,2,10,3,11,13,22,11,18,70,82,7,13,24,31,20,30
Drew Lorick,K,RAL,22,500000,2026,54,68,29,12,33,7,3,1,7,17,1,0,0,0,0,9,0,0,4,83,45,35,14,0,7,0,3,0,6,0,7,0,8,0,7,0,8,2,10,2,8,54,68,8,17,16,23,13,24
Malik Garrett,K,KEN,33,500000,2026,56,56,50,0,0,0,26,0,2,8,0,0,6,0,0,35,0,0,0,83,46,25,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,56,2,2,0,0,0,0
Dan Cuellar,K,HAW,24,600000,2029,72,78,31,11,50,7,23,30,16,8,0,0,19,0,0,24,0,0,0,82,79,41,36,10,15,6,11,1,4,2,4,0,6,2,5,4,6,15,20,13,17,72,78,18,23,32,38,22,28
Delvon Brennan,K,SF,29,500000,2025,42,42,20,55,31,34,9,20,16,21,6,19,0,30,8,37,15,0,0,82,32,33,13,7,7,10,10,0,0,8,8,14,14,10,10,15,15,12,12,15,15,42,42,6,6,16,16,15,15
Dillon Johnson,K,SD,24,500000,2025,44,53,19,14,37,22,34,17,28,16,0,0,8,5,0,22,8,8,35,81,37,34,29,10,14,2,4,0,5,0,4,0,3,5,11,6,8,8,15,9,16,44,53,13,17,19,25,16,19
Shane McNeil,K,MON,23,580000,2027,70,83,51,21,67,29,12,1,19,16,0,0,14,5,9,5,22,8,18,80,75,40,12,9,15,15,19,3,8,10,14,8,14,16,26,20,27,15,24,19,28,70,83,8,14,61,73,47,59
Wil Barnett,K,RIO,25,940000,2028,72,78,29,29,62,20,35,29,15,1,0,0,0,0,0,22,0,3,0,80,81,31,37,13,15,10,12,0,3,1,2,5,9,8,12,12,15,18,22,18,20,72,78,14,17,49,53,33,36
Jordan Harrington,K,EDM,24,500000,2026,68,77,11,39,39,24,19,15,19,7,7,0,3,0,1,31,7,0,0,80,72,28,33,5,10,7,11,0,6,0,5,3,5,5,12,9,13,12,17,14,19,68,77,12,14,19,23,15,19
Sam Williams,K,CLE,30,500000,2027,65,65,27,11,33,60,18,1,24,10,1,0,0,0,2,22,1,2,1,78,64,21,14,3,3,0,0,0,0,0,0,0,0,0,0,0,0,7,7,6,6,65,65,2,2,15,15,11,11
Grant Swing,K,DET,25,500000,2025,33,38,24,13,44,35,19,17,16,20,5,3,9,4,0,30,19,0,12,78,23,51,33,6,11,6,6,0,4,0,2,0,4,3,8,10,15,14,16,16,20,33,38,22,26,27,32,22,24
Jason Billingslea,K,SYD,27,500000,2025,35,35,16,39,17,50,16,0,5,1,2,0,0,0,14,9,0,0,0,78,25,14,29,0,1,0,0,0,0,0,0,4,4,2,2,1,3,0,0,0,0,35,35,5,5,0,0,0,0
Ronnie Pierre,K,PRO,23,500000,2026,56,65,47,25,47,64,22,15,27,8,7,0,0,32,14,5,0,11,0,77,52,43,44,13,20,10,13,0,5,7,11,12,19,9,19,9,13,7,14,8,13,56,65,23,31,27,35,21,31
Justin Thomas,K,MIL,23,500000,2029,66,76,23,4,36,64,17,48,18,18,4,0,1,12,0,34,0,0,0,77,68,33,46,11,18,0,4,0,5,0,2,0,5,0,5,0,5,13,22,10,18,66,76,19,25,19,26,15,24
Cedric Shazier,K,LAE,25,500000,2026,56,62,26,11,39,9,40,19,7,15,0,4,0,19,5,5,0,0,16,77,53,40,28,8,9,2,4,0,5,0,1,0,0,1,4,1,5,3,5,3,4,56,62,14,15,21,24,17,18
Ronald Moore,K,NYC,31,500000,2026,42,42,35,0,12,23,14,0,15,0,2,0,0,13,0,0,1,12,0,77,38,36,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,42,17,17,0,0,0,0
Ryan Buschman,K,ATL,29,500000,2028,63,63,8,26,46,51,23,21,29,0,0,2,0,3,0,3,4,1,0,76,61,28,18,7,7,4,4,0,0,0,0,0,0,1,1,5,5,4,4,6,6,63,63,6,6,24,24,18,18
Kenny Thomas,K,BUE,28,500000,2025,51,51,28,43,33,37,19,24,27,49,0,14,5,0,0,30,0,7,0,76,49,16,19,14,14,9,9,0,0,5,5,6,6,8,8,9,9,10,10,11,11,51,51,2,2,23,23,24,24
Edward Savea,K,NJ,32,500000,2026,67,67,42,30,24,0,20,10,21,26,30,0,0,26,0,11,0,0,0,75,72,42,29,11,11,11,11,0,0,3,3,7,7,5,5,3,3,0,0,1,1,67,67,16,16,9,9,10,10
J.C. Harvey,K,CLB,33,500000,2025,44,44,29,10,4,16,33,22,28,5,0,12,0,0,0,16,25,0,0,75,42,60,22,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,44,20,20,0,0,0,0
Tevin Miles,K,LIS,30,500000,2025,37,37,30,10,13,52,17,38,24,5,0,0,4,0,0,27,4,6,1,75,31,32,20,9,9,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,37,37,8,8,0,0,0,0
Mike Stark,K,BUF,39,500000,2025,29,29,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,20,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,29,0,0,0,0,0,0
Ike Horst,K,NOL,26,500000,2025,64,66,44,0,32,38,26,24,6,16,0,0,0,0,0,6,0,4,0,74,65,42,40,8,8,0,1,0,2,0,0,0,1,0,0,0,1,1,3,0,2,64,66,20,21,15,17,12,12
Billy Pierce,K,CGY,30,500000,2027,62,62,40,0,17,84,7,31,12,2,3,0,4,0,0,13,12,0,0,74,62,38,22,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,62,11,11,0,0,0,0
