Name,Pos,Team,Age,Contract,Exp,Ovr,Pot,Hgt,Str,Spd,End,ThV,ThP,ThA,BSc,Elu,RtR,Hnd,RBk,PBk,PCv,Tck,PRs,RnS,KPw,KAc,PPw,PAc,OvrQB,PotQB,OvrRB,PotRB,OvrWR,PotWR,OvrTE,PotTE,OvrOL,PotOL,OvrDL,PotDL,OvrLB,PotLB,OvrCB,PotCB,OvrS,PotS,OvrK,PotK,OvrP,PotP,OvrKR,PotKR,OvrPR,PotPR
Terry Beckham,RB,QUE,26,12910000,2026,72,76,21,22,53,18,31,16,18,76,100,55,66,28,18,9,0,0,21,15,21,5,31,21,24,72,76,45,47,30,34,8,8,6,6,7,8,10,11,10,10,2,2,2,4,52,52,55,59
Jarred Anderson,RB,BUE,28,500000,2025,49,49,38,5,45,39,27,25,37,80,100,39,24,28,8,34,20,0,5,4,4,7,16,29,29,49,49,18,18,12,12,2,2,3,3,9,9,17,17,18,18,0,0,0,0,40,40,47,47
Michael Nelson,RB,RAL,27,15710000,2029,84,84,37,29,83,54,63,20,33,96,99,8,28,19,5,27,2,0,15,28,26,6,4,49,49,84,84,18,18,15,15,12,12,15,15,19,19,32,33,31,31,9,9,0,2,99,99,99,99
Derek Webb,RB,SYD,25,4110000,2025,61,68,17,24,66,99,40,34,48,77,97,36,17,13,18,16,29,4,0,4,4,2,5,40,43,61,68,13,16,10,13,7,8,8,12,18,21,17,21,22,27,0,2,0,3,78,84,79,84
Marvin Russell,RB,RAL,28,500000,2025,47,47,28,14,39,21,19,27,3,55,97,45,36,17,18,5,1,4,16,10,4,3,3,15,15,47,47,21,21,16,16,3,3,3,3,3,3,3,3,3,3,0,0,0,0,24,24,26,26
Kelly Carney,RB,PAR,30,7720000,2026,70,70,29,35,69,40,27,24,9,44,96,22,33,0,35,32,0,12,2,4,7,4,4,20,20,70,70,17,17,18,18,13,13,12,12,16,16,25,25,24,24,0,0,0,0,69,69,59,59
Dillon Combs,RB,BUF,29,21740000,2028,96,96,23,55,94,52,36,19,7,74,95,33,74,20,34,21,16,1,7,16,23,42,28,25,25,96,96,49,49,48,48,24,24,22,22,34,34,34,34,43,43,4,4,15,15,100,100,100,100
Josh Neill,RB,DEL,32,500000,2026,51,51,37,15,49,68,15,0,0,59,94,21,31,39,17,1,0,0,0,1,0,18,3,10,10,51,51,16,16,16,16,9,9,4,4,4,4,6,6,6,6,0,0,0,0,40,40,41,41
Larry Haynes,RB,STL,24,8340000,2029,79,93,40,37,76,7,17,0,6,71,93,22,35,0,14,12,1,7,0,6,6,2,5,17,23,79,93,21,28,20,25,13,16,15,21,18,22,20,27,22,26,0,3,0,3,89,99,87,98
Chris Sheppard,RB,MXC,25,8060000,2027,60,68,38,23,58,73,30,28,17,65,92,32,37,25,33,21,4,6,2,4,6,18,35,25,27,60,68,22,26,22,25,13,17,9,14,12,16,17,21,17,22,0,4,9,10,56,60,56,61
