Name,Pos,Team,Age,Contract,Exp,Ovr,Pot,Hgt,Str,Spd,End,ThV,ThP,ThA,BSc,Elu,RtR,Hnd,RBk,PBk,PCv,Tck,PRs,RnS,KPw,KAc,PPw,PAc,OvrQB,PotQB,OvrRB,PotRB,OvrWR,PotWR,OvrTE,PotTE,OvrOL,PotOL,OvrDL,PotDL,OvrLB,PotLB,OvrCB,PotCB,OvrS,PotS,OvrK,PotK,OvrP,PotP,OvrKR,PotKR,OvrPR,PotPR
Xavier Fry,K,VAN,35,500000,2025,69,69,50,0,0,11,0,16,12,1,0,0,0,0,0,31,0,6,0,91,63,19,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,69,9,9,0,0,0,0
Brandon Boroughs,K,DEN,30,500000,2025,54,54,29,0,42,38,36,0,60,0,1,0,0,1,4,4,3,1,0,87,41,35,14,15,15,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,54,54,8,8,20,20,14,14
Connor Gordon,K,MIN,40,500000,2025,38,38,27,0,0,8,16,6,0,0,0,0,0,0,0,0,0,0,4,78,31,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,38,0,0,0,0,0,0
Sam Greene,K,MLB,29,500000,2026,72,72,30,15,36,30,7,14,33,25,19,4,2,0,0,36,7,1,0,77,85,49,19,9,9,7,7,0,0,0,0,0,0,1,1,5,5,14,14,13,13,72,72,14,14,19,19,17,17
Jeff Golson,K,POR,27,500000,2027,53,53,27,7,37,52,18,4,6,6,2,0,0,0,4,26,0,0,0,77,49,32,5,0,0,0,0,0,1,0,0,0,0,0,1,0,0,10,10,8,8,53,53,3,3,17,17,13,15
Romelo Dean,K,MNL,27,500000,2029,64,64,29,20,32,25,20,3,33,17,1,6,0,0,0,5,0,19,0,76,63,58,22,8,8,1,1,0,0,0,1,0,0,3,3,2,4,0,0,1,1,64,64,19,19,15,15,13,14
Rodney Sneed,K,DP,22,500000,2026,35,46,36,2,38,66,16,28,19,18,24,0,0,0,1,29,0,15,0,76,28,59,31,10,18,6,13,0,6,0,3,0,7,0,6,1,6,12,19,10,18,35,46,26,37,19,28,16,25
Andre King,K,DET,31,500000,2025,45,45,32,0,14,64,0,9,3,15,14,0,0,0,1,20,0,0,0,74,45,26,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45,4,4,0,0,0,0
Chane Kline,K,CLB,38,500000,2027,65,65,57,16,0,0,18,32,20,0,0,0,0,0,12,12,0,0,9,73,70,63,23,11,11,0,0,0,0,1,1,1,1,2,2,0,0,0,0,0,0,65,65,23,23,0,0,0,0
Tabari Scott,K,RIO,24,500000,2026,54,59,24,42,31,24,31,0,6,18,0,0,22,7,29,7,9,0,6,73,55,40,7,4,11,8,11,1,6,10,12,11,18,8,15,9,13,1,3,4,9,54,59,7,10,15,21,14,17
Jamari Jefferson,K,LV,29,500000,2027,50,50,40,40,27,72,10,9,4,0,0,0,0,0,0,12,0,0,0,73,51,25,0,2,2,3,3,0,0,3,3,7,7,8,8,6,6,2,2,3,3,50,50,0,0,8,8,5,5
Terrance Bailey,K,JAX,23,500000,2026,41,51,32,19,49,49,30,18,9,24,0,2,11,0,0,18,0,0,16,73,39,18,30,9,17,8,13,0,9,2,7,1,5,6,13,7,15,12,17,11,18,41,51,7,13,36,45,29,37
Willie Lloyd,K,DP,22,500000,2026,41,53,68,3,35,39,0,15,20,31,0,10,0,0,0,7,1,0,0,73,40,37,6,9,18,2,6,1,9,3,8,0,6,4,12,2,11,4,10,3,11,41,53,5,14,20,30,19,29
James Neal,K,ROM,31,500000,2025,62,62,18,14,5,29,27,25,23,14,0,15,0,2,0,7,13,5,0,72,63,36,10,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,62,6,6,0,0,0,0
Brandon Julmiste,K,BEI,29,500000,2025,59,59,25,47,30,40,33,16,4,4,0,12,3,3,0,13,2,19,5,72,61,38,31,6,6,6,6,0,0,4,4,7,7,11,11,10,10,3,3,5,5,59,59,15,15,12,12,9,9
Mike Stefo,K,BEL,29,500000,2025,57,57,21,13,23,28,3,16,2,34,16,0,0,0,0,23,0,1,23,72,59,47,34,0,0,2,2,0,0,0,0,0,0,0,0,0,0,4,4,2,2,57,57,20,20,10,10,11,11
James Nixon,K,MIL,33,500000,2025,56,56,26,5,0,42,2,11,2,3,0,3,0,0,0,18,0,0,0,72,58,29,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,56,9,9,0,0,0,0
