Name,Pos,Team,Age,Contract,Exp,Ovr,Pot,Hgt,Str,Spd,End,ThV,ThP,ThA,BSc,Elu,RtR,Hnd,RBk,PBk,PCv,Tck,PRs,RnS,KPw,KAc,PPw,PAc,OvrQB,PotQB,OvrRB,PotRB,OvrWR,PotWR,OvrTE,PotTE,OvrOL,PotOL,OvrDL,PotDL,OvrLB,PotLB,OvrCB,PotCB,OvrS,PotS,OvrK,PotK,OvrP,PotP,OvrKR,PotKR,OvrPR,PotPR
Colton Edge,P,CHI,26,500000,2025,64,65,21,33,22,71,25,25,17,17,0,19,0,1,0,30,0,24,7,45,31,45,94,8,8,1,4,0,0,0,0,1,2,5,5,5,5,6,8,6,7,17,17,64,65,7,9,7,10
Ben Snyder,P,SD,28,500000,2026,62,62,19,26,29,33,26,46,1,0,0,11,0,0,4,34,32,23,0,35,3,43,93,7,7,0,0,0,0,0,0,0,0,6,6,13,13,10,10,15,15,3,3,62,62,10,10,6,6
Reese Boone,P,DP,21,500000,2026,73,91,38,21,26,39,7,12,30,18,0,0,0,0,0,14,0,16,0,9,8,71,93,7,17,0,6,0,10,0,6,0,10,4,17,2,11,2,10,2,10,0,9,73,91,11,21,9,21
Kenny Ruffin,P,OAK,28,500000,2025,44,44,30,14,17,73,0,34,2,1,0,0,0,2,0,0,0,0,0,24,25,29,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,44,44,0,0,0,0
Ian Alexander,P,UTA,30,500000,2028,69,69,36,35,47,14,17,21,18,0,0,4,3,22,13,7,0,4,0,34,20,68,86,9,9,9,9,0,0,7,7,12,12,9,9,9,9,7,7,9,9,9,9,69,69,25,25,19,19
Will Smith,P,JKT,27,500000,2025,48,48,50,22,1,15,6,24,34,22,0,16,0,16,0,7,15,29,13,26,5,37,85,11,11,0,2,0,0,3,5,2,2,8,8,4,4,0,0,0,0,1,1,48,48,0,0,0,1
Derrick Young,P,PAR,24,500000,2026,68,77,29,27,61,55,17,19,31,15,15,0,21,3,6,16,0,0,0,25,22,67,82,13,17,18,24,3,8,7,13,5,8,7,14,10,17,16,22,16,21,7,11,68,77,50,55,38,43
Joshua Galea'i,P,OKC,32,500000,2025,40,40,20,17,7,8,0,7,23,5,0,0,35,0,0,0,25,25,2,58,29,29,82,0,0,0,0,3,3,3,3,0,0,0,0,2,2,0,0,0,0,23,23,40,40,0,0,0,0
Leroy Dean,P,BEI,38,500000,2025,37,37,40,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,24,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,37,0,0,0,0
Matt Scarbrough,P,DEN,25,500000,2028,64,70,29,4,39,38,51,17,15,16,9,2,0,1,15,17,2,19,12,22,16,58,81,12,17,3,4,0,1,0,0,0,4,2,5,2,4,8,9,7,9,3,3,64,70,21,26,17,22
Jeb Slusher,P,OTT,25,500000,2028,56,58,24,5,53,67,9,34,0,25,5,18,8,0,0,8,14,0,1,51,18,49,81,4,9,7,8,0,1,0,3,0,4,0,5,6,11,9,12,11,15,15,19,56,58,42,44,33,39
Zach Haynes,P,MAD,31,500000,2025,56,56,31,0,34,44,1,22,0,21,1,0,0,0,0,26,0,14,0,30,5,48,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,7,7,2,2,56,56,18,18,15,15
Tanner Scherer,P,SEL,27,500000,2025,65,65,20,11,46,65,14,4,11,7,2,0,0,5,2,4,15,0,4,35,29,64,80,0,0,3,4,0,0,0,0,0,1,1,1,6,6,5,5,8,8,13,14,65,65,25,25,19,19
Pete Crayton,P,QUE,30,500000,2026,47,47,47,6,47,42,34,0,37,15,0,0,19,13,4,16,0,1,4,29,38,40,80,14,14,6,6,3,3,6,6,1,1,3,3,4,4,11,11,10,10,14,14,47,47,30,30,22,22
Royce Fisher,P,NJ,33,500000,2025,47,47,23,9,11,13,4,0,9,3,0,0,0,0,0,8,0,0,0,30,0,41,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,47,0,0,0,0
Marcus Moore,P,PIT,36,500000,2025,44,44,31,0,3,0,10,17,32,0,0,0,0,0,0,14,0,28,0,26,36,39,79,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,44,44,0,0,0,0
Larry Love,P,LON,29,500000,2028,68,68,41,29,41,44,15,18,31,39,0,0,33,3,7,53,4,0,0,50,73,71,78,14,14,12,12,10,10,12,12,6,6,8,8,11,11,23,23,21,21,50,50,68,68,29,29,28,28
Carnell Ballard,P,DP,22,500000,2026,44,56,33,28,58,27,15,35,15,17,13,0,22,11,0,4,0,0,0,29,31,41,77,13,23,17,24,4,14,9,16,6,16,8,16,10,19,10,20,11,19,11,19,44,56,47,61,36,49
Robert West,P,SJ,24,500000,2028,63,68,33,3,47,70,20,27,14,29,22,6,10,5,0,6,0,0,0,18,14,62,76,11,19,10,15,0,5,0,4,0,3,0,6,1,5,7,11,6,11,1,6,63,68,33,38,26,31
Derrick Dawkins,P,PRO,37,500000,2025,44,44,23,0,0,5,0,0,9,0,0,0,17,0,19,12,14,0,0,37,7,44,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,44,44,0,0,0,0
Harrison Collins,P,DP,22,500000,2026,42,55,37,12,24,40,2,4,34,0,0,0,1,0,1,16,17,0,0,52,28,42,73,3,14,0,1,0,8,0,5,0,5,1,8,4,9,2,10,4,11,19,29,42,55,5,14,2,10
Joe Traylor,P,BEL,24,500000,2025,54,60,38,29,40,19,9,16,23,12,0,6,4,0,0,27,0,0,1,17,20,56,72,8,12,6,9,0,4,3,8,4,8,7,12,8,12,12,16,12,16,3,6,54,60,21,26,18,26
Justin Davis,P,SEA,31,500000,2026,47,47,49,22,8,60,3,10,18,0,0,0,0,0,0,36,0,0,11,27,33,49,72,3,3,0,0,0,0,0,0,1,1,3,3,1,1,4,4,2,2,11,11,47,47,0,0,0,0
Trevor Shackleton,P,DP,22,500000,2026,62,78,17,9,44,55,8,12,31,18,0,0,0,0,9,15,0,0,8,42,48,64,72,4,13,2,8,0,6,0,6,0,7,0,7,1,6,8,18,7,17,26,35,62,78,26,38,21,29
Christian Reden,P,ATH,23,500000,2027,64,75,30,15,42,33,15,0,19,7,14,0,11,0,0,26,8,2,7,38,6,69,71,4,13,8,13,0,7,0,3,0,4,3,12,7,12,12,21,12,21,5,8,64,75,21,29,16,22
Kyle McNulty,P,SAC,24,500000,2026,62,71,21,34,43,75,9,18,27,8,3,0,0,0,0,19,6,5,0,29,24,65,71,7,12,7,10,0,6,0,3,3,9,6,11,9,13,10,13,11,18,9,13,62,71,23,29,18,24
E.J. Payne,P,RIO,38,500000,2025,65,65,10,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,2,26,6,73,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,65,65,0,0,0,0
Jordan McKinnis,P,KC,24,500000,2026,51,56,18,15,46,56,5,30,4,1,8,7,4,8,1,2,6,0,6,39,24,54,71,1,6,6,10,0,6,0,3,0,3,1,8,4,8,4,7,6,13,13,17,51,56,24,32,17,24
Stewart Burchett,P,JAX,24,500000,2026,47,54,22,20,34,35,13,5,19,28,7,4,15,7,1,36,0,23,1,47,35,49,71,3,7,6,9,0,4,1,2,0,4,3,6,4,10,13,17,11,17,20,25,47,54,19,24,18,23
Bobby Cole,P,LIS,39,500000,2026,47,47,29,0,0,0,38,8,13,0,0,0,0,0,0,0,0,10,0,14,27,49,71,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,47,47,0,0,0,0
Jajuan Law,P,IST,31,500000,2029,69,69,43,0,9,22,2,4,16,19,0,0,0,0,0,16,0,5,0,26,19,83,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,69,69,0,0,0,0
Cornelius Mitchell,P,LA,28,500000,2025,51,51,36,0,41,22,27,20,25,17,4,0,0,0,1,22,0,0,0,40,29,55,70,11,11,1,1,0,0,0,0,0,0,0,0,0,0,11,11,8,8,15,15,51,51,23,23,18,18
Rod Garcia,P,RAL,29,500000,2028,66,66,25,23,0,39,14,28,15,0,0,0,0,0,1,28,0,1,0,28,15,77,69,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,66,66,0,0,0,0
Jordan Forrest,P,MIN,25,500000,2026,48,53,11,24,33,56,18,21,56,3,1,0,9,4,0,19,0,21,6,45,33,53,69,12,13,2,5,0,1,0,0,0,1,2,7,3,6,5,9,5,8,18,21,48,53,14,16,10,15
Joshua Sharp,P,IND,34,500000,2025,47,47,24,0,0,0,11,0,14,0,0,0,0,0,0,9,0,0,0,8,0,52,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,47,0,0,0,0
Cameron Vizcaino,P,LV,35,500000,2025,44,44,50,0,0,24,15,0,21,12,2,0,0,0,0,0,0,0,0,40,0,49,69,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,44,44,0,0,0,0
Mike Hurdle,P,DP,22,500000,2026,34,43,45,11,27,34,37,4,15,13,0,3,0,0,0,0,0,0,3,33,14,33,69,9,19,0,3,0,9,0,5,0,5,1,11,0,8,0,7,0,8,7,12,34,43,10,18,8,16
Jack Smith,P,SIN,25,500000,2027,53,57,36,13,27,8,34,12,0,25,0,0,0,0,6,9,0,0,0,34,17,59,68,5,8,0,0,0,2,0,3,0,2,0,4,0,3,0,3,0,2,8,10,53,57,13,15,12,17
Dan Prater,P,VAN,27,500000,2025,35,35,17,16,49,33,7,6,14,5,17,1,12,2,3,28,3,3,0,23,25,36,68,0,0,10,11,0,0,0,0,0,0,1,1,5,5,15,15,14,14,7,7,35,35,28,28,20,20
Troy Goodman,P,FA,38,500000,2025,32,32,22,7,0,0,21,0,0,0,0,5,0,0,0,12,0,0,3,11,25,32,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,32,32,0,0,0,0
Michael Hardin,P,WPG,31,500000,2028,62,62,27,12,18,42,20,0,30,3,0,0,3,0,8,5,3,0,0,33,11,71,65,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,62,62,1,1,0,0
A.J. Scott,P,PHO,22,500000,2025,44,57,49,17,17,27,20,4,1,13,1,0,0,0,0,8,0,10,0,26,20,53,65,2,10,0,4,0,10,0,7,0,8,3,12,0,5,0,9,0,5,6,11,44,57,2,7,1,8
