Name,Pos,Team,Age,Contract,Exp,Ovr,Pot,Hgt,Str,Spd,End,ThV,ThP,ThA,BSc,Elu,RtR,Hnd,RBk,PBk,PCv,Tck,PRs,RnS,KPw,KAc,PPw,PAc,OvrQB,PotQB,OvrRB,PotRB,OvrWR,PotWR,OvrTE,PotTE,OvrOL,PotOL,OvrDL,PotDL,OvrLB,PotLB,OvrCB,PotCB,OvrS,PotS,OvrK,PotK,OvrP,PotP,OvrKR,PotKR,OvrPR,PotPR
Chris Hendrix,CB,ABQ,32,15020000,2029,83,83,27,19,74,0,1,2,27,17,1,4,16,0,0,100,0,0,4,0,6,6,0,5,5,15,15,2,2,5,5,2,2,7,7,16,16,83,83,64,64,0,0,0,0,77,77,56,56
Shaun Green,CB,BER,29,14900000,2029,83,83,12,49,81,39,5,23,2,29,0,28,1,6,10,95,22,3,0,20,7,11,19,5,5,22,22,0,0,8,8,13,13,16,16,34,34,83,83,82,82,0,0,0,0,89,89,80,80
Deion Dumars,CB,LIS,33,5600000,2028,63,63,27,24,60,64,26,41,32,14,13,0,4,0,1,95,0,0,4,3,4,5,21,19,19,14,14,0,0,1,1,3,3,6,6,14,14,63,63,51,51,0,0,0,0,49,49,36,36
Mike Ivy,CB,SEL,30,16180000,2029,86,86,27,3,88,49,37,18,31,1,30,5,18,0,3,94,4,0,0,6,7,4,15,17,17,24,24,3,3,4,4,0,0,5,5,16,16,86,86,72,72,0,0,0,0,88,88,62,62
Zach Axon,CB,SEL,26,19440000,2029,87,89,37,20,90,24,62,2,15,18,0,9,3,0,7,93,7,5,7,2,1,13,4,18,21,19,19,0,2,6,7,7,7,13,15,24,27,87,89,79,85,0,0,0,2,95,96,83,85
Spencer Davis,CB,CGY,28,16660000,2029,84,84,6,17,89,35,20,21,8,11,22,2,0,5,14,91,0,27,18,7,0,7,9,6,6,22,22,0,0,0,0,3,3,10,10,19,19,84,84,70,70,0,0,0,0,91,91,74,74
Brandon Council,CB,CHI,24,10140000,2029,88,99,31,3,97,39,5,18,5,26,0,7,13,0,3,89,6,3,0,13,14,3,7,5,8,19,26,3,10,4,5,1,7,7,11,19,26,88,99,79,91,0,6,0,5,100,100,90,100
Daniel Gumbs,CB,BAL,27,9790000,2028,68,68,26,34,72,34,2,17,22,9,5,31,3,25,0,88,0,17,0,2,1,14,0,7,7,18,18,1,2,9,9,11,11,12,12,20,20,68,68,57,57,0,0,0,0,69,69,50,51
Reid Moore,CB,SAC,31,10440000,2026,74,74,34,17,78,15,37,37,14,11,0,2,12,0,0,87,0,5,0,0,16,10,21,17,17,15,15,1,1,4,4,3,3,9,9,17,17,74,74,58,58,0,0,1,1,83,83,57,57
Alex Brown,CB,TOK,29,6850000,2025,64,64,28,32,68,16,28,26,25,35,0,5,15,0,0,87,3,0,0,17,7,4,19,17,17,17,17,3,3,7,7,6,6,10,10,18,18,64,64,54,54,0,0,0,0,73,73,59,59
Brandon Poland,CB,FA,39,500000,2025,35,35,14,0,30,0,4,16,0,0,0,3,0,0,0,87,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,24,24,0,0,0,0,10,10,6,6
