Name,Pos,Team,Age,Contract,Exp,Ovr,Pot,Hgt,Str,Spd,End,ThV,ThP,ThA,BSc,Elu,RtR,Hnd,RBk,PBk,PCv,Tck,PRs,RnS,KPw,KAc,PPw,PAc,OvrQB,PotQB,OvrRB,PotRB,OvrWR,PotWR,OvrTE,PotTE,OvrOL,PotOL,OvrDL,PotDL,OvrLB,PotLB,OvrCB,PotCB,OvrS,PotS,OvrK,PotK,OvrP,PotP,OvrKR,PotKR,OvrPR,PotPR
Lavon Turner,K,MXC,25,500000,2026,63,65,29,19,36,42,4,17,20,16,5,25,18,0,5,28,11,5,4,92,46,33,51,5,10,6,9,5,7,6,7,0,1,3,6,7,9,11,13,11,15,63,65,22,26,18,22,15,20
Jamie Anderson,K,BEL,27,500000,2029,64,64,35,27,58,47,0,35,3,8,6,0,16,0,0,24,5,14,0,90,50,51,66,6,6,13,13,1,1,6,6,5,5,10,10,13,13,18,19,18,19,64,64,44,44,44,44,31,31
Ralph Williams,K,QUE,31,500000,2028,75,75,24,13,45,10,24,5,1,27,0,12,16,0,0,43,10,0,2,85,85,42,16,2,2,6,6,2,2,2,2,0,0,1,1,7,7,20,20,19,19,75,75,11,11,31,31,25,25
JoJo Roach,K,SYD,34,500000,2027,56,56,33,4,19,27,31,14,45,0,3,0,0,0,3,0,0,0,0,84,45,36,51,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,56,23,23,1,1,0,0
Shaun Lamb,K,CAI,23,500000,2025,62,74,29,7,38,16,8,26,31,1,0,0,0,0,22,24,0,7,0,80,55,30,22,7,15,0,3,0,5,0,5,0,5,0,5,1,6,10,17,8,17,62,74,8,14,17,26,12,19
Malakai Fleming,K,POR,39,500000,2025,44,44,30,0,0,16,1,21,10,0,0,0,0,0,0,0,0,0,0,77,40,25,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,44,7,7,0,0,0,0
Marc Young,K,DP,21,500000,2026,50,68,22,16,19,23,15,25,33,20,3,26,6,0,10,0,0,0,14,77,47,31,19,9,23,0,6,0,8,0,4,0,10,0,9,0,6,0,9,0,10,50,68,8,17,5,14,5,14
Quavon Terrell,K,KEN,28,500000,2027,56,56,44,0,47,52,7,16,5,5,0,7,0,16,7,34,0,17,0,76,53,51,39,2,2,2,2,0,0,0,0,0,0,3,3,4,4,18,18,15,15,56,56,26,26,26,26,19,19
Ryan Brumfield,K,DAL,24,500000,2025,48,56,27,2,23,34,17,14,30,19,0,2,5,0,0,30,3,6,0,76,46,20,9,6,11,0,2,0,6,0,1,0,4,0,3,0,5,6,11,4,7,48,56,0,6,8,12,7,13
Stanley Valentine,K,NYC,24,590000,2026,72,82,34,7,34,34,15,8,20,19,0,0,6,6,24,18,0,6,7,75,86,29,20,5,11,1,1,0,4,0,5,1,4,0,4,1,6,6,8,5,8,72,82,8,11,17,20,15,22
