Name,Pos,Team,Age,Contract,Exp,Ovr,Pot,Hgt,Str,Spd,End,ThV,ThP,ThA,BSc,Elu,RtR,Hnd,RBk,PBk,PCv,Tck,PRs,RnS,KPw,KAc,PPw,PAc,OvrQB,PotQB,OvrRB,PotRB,OvrWR,PotWR,OvrTE,PotTE,OvrOL,PotOL,OvrDL,PotDL,OvrLB,PotLB,OvrCB,PotCB,OvrS,PotS,OvrK,PotK,OvrP,PotP,OvrKR,PotKR,OvrPR,PotPR
Tony Luna,K,TPA,25,760000,2028,75,81,30,20,41,100,64,2,9,16,0,14,0,0,0,5,0,0,0,94,90,24,27,12,13,4,7,0,3,0,3,0,2,2,3,3,7,4,9,4,5,75,81,8,9,23,25,19,22
Owen Doyle,K,OAK,35,500000,2026,56,56,34,14,16,55,37,19,0,18,10,0,0,0,0,0,0,0,0,92,38,34,41,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,56,17,17,2,2,2,2
Garrison Cook,K,BEL,27,500000,2026,41,41,53,0,34,51,15,27,4,13,5,0,0,0,27,0,0,2,4,89,24,27,16,7,7,1,3,0,1,1,3,1,1,1,1,0,0,0,0,0,0,41,41,5,5,16,16,12,12
Mike Harris,K,MLB,26,890000,2028,71,74,47,9,31,49,29,4,40,15,4,2,16,38,0,8,0,0,5,86,73,47,27,14,14,4,6,2,2,7,7,4,4,2,2,1,3,2,5,1,4,71,74,17,19,14,14,11,11
Tony Carr,K,SF,27,500000,2026,42,42,46,0,49,9,36,18,26,9,2,0,0,1,0,27,0,0,0,86,29,25,1,14,14,3,3,0,0,0,2,0,0,1,1,3,3,16,16,13,13,42,42,0,0,30,31,22,22
Mike Denman,K,DEN,22,550000,2027,67,80,12,27,46,30,22,6,15,18,0,6,9,0,4,16,0,0,0,85,62,33,25,3,10,7,14,0,8,0,7,0,7,2,10,5,11,9,16,10,19,67,80,11,21,30,42,23,35
Jermaine Robinson,K,ATH,23,500000,2025,50,61,52,5,40,31,0,2,16,7,4,5,20,0,20,39,0,2,15,84,39,17,5,2,7,6,12,5,13,8,15,2,7,5,12,5,10,17,24,14,23,50,61,0,5,20,25,15,23
Anthony Lee,K,VB,23,500000,2027,62,75,27,8,15,77,24,15,27,19,0,0,0,0,6,4,0,1,3,80,55,35,32,7,15,0,3,0,8,0,2,0,7,0,8,0,5,0,4,0,6,62,75,14,21,1,7,1,9
Nick Ford,K,DP,22,500000,2026,51,66,32,26,44,16,17,26,15,14,9,0,2,0,11,1,0,4,0,79,46,33,18,10,20,9,16,0,6,1,4,4,10,6,17,6,14,4,14,5,14,51,66,8,14,25,34,20,28
Kraig Williams,K,CLB,24,500000,2025,41,46,34,18,43,50,20,29,19,13,0,0,0,0,2,2,0,0,0,78,34,35,26,11,16,4,6,0,7,0,4,1,7,3,6,4,9,4,9,4,10,41,46,12,17,24,28,19,23
Trevon Hart,K,DEL,35,500000,2025,65,65,23,1,0,0,1,0,0,0,0,0,0,0,0,44,0,0,0,77,67,4,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,65,65,0,0,0,0,0,0
Inoke Henry,K,ORL,25,500000,2025,42,46,44,15,59,66,1,6,9,15,4,20,0,0,1,12,3,0,0,75,39,52,16,3,8,10,13,0,2,4,8,2,4,7,12,9,14,14,15,14,18,42,46,14,17,48,53,36,39
Stephen Norton,K,MXC,33,500000,2025,40,40,40,0,11,57,15,14,24,11,0,0,13,10,0,0,0,1,0,75,36,23,15,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,3,3,0,0,0,0
Scott Yarbrough,K,TOR,31,500000,2025,36,36,22,9,24,9,7,11,0,0,1,0,1,2,0,20,0,0,0,75,30,27,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,2,36,36,7,7,5,5,2,2
Brady Williams,K,DAL,24,500000,2026,56,61,27,15,20,42,4,1,6,11,6,2,0,2,0,52,0,0,0,74,55,22,26,0,7,0,2,0,6,0,4,0,5,0,5,0,4,14,20,10,17,56,61,7,10,4,7,3,5
Danny Robinson,K,SD,29,500000,2025,42,42,19,0,18,42,26,0,23,0,12,0,0,0,0,0,0,12,12,74,40,12,28,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,42,4,4,0,0,0,0
John Baxley,K,LAE,29,500000,2025,42,42,35,15,43,74,4,2,16,12,0,1,0,4,0,23,51,0,0,73,42,25,19,1,1,3,3,0,0,0,0,0,0,7,7,19,19,12,12,20,20,42,42,5,5,24,24,19,19
Jonathan Gaskins,K,CHI,33,500000,2025,36,36,49,0,43,12,10,0,3,17,0,0,0,4,0,20,0,0,0,73,32,30,31,1,1,2,2,0,0,0,0,0,0,1,1,2,2,11,11,9,9,36,36,12,12,24,24,20,20
Derick Palmer,K,POR,39,500000,2025,34,34,21,0,0,0,0,0,20,0,0,0,0,0,0,8,0,0,0,72,30,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,34,0,0,0,0,0,0
Jake Elorriaga,K,SAC,30,500000,2028,59,59,34,0,30,24,10,19,14,0,0,0,30,1,0,13,0,0,0,71,61,27,7,2,2,0,0,4,4,3,3,0,0,0,0,0,0,3,3,1,1,59,59,2,2,10,10,6,6
Bud Smith,K,LA,32,500000,2025,56,56,17,26,21,1,2,19,4,0,0,3,3,0,14,43,0,0,14,71,59,32,22,0,0,0,0,0,0,0,0,0,0,1,1,2,2,10,10,9,9,56,56,9,9,3,3,1,1
Kobi Richardson,K,SYD,23,500000,2025,32,40,20,35,13,28,8,25,8,12,0,0,0,0,2,15,2,0,0,71,27,36,21,2,9,0,2,0,6,0,6,1,5,1,10,0,7,0,4,0,6,32,40,10,15,0,7,0,3
Danny Colbert,K,BER,41,500000,2025,38,38,51,15,0,0,23,30,0,0,0,3,0,0,0,0,0,0,0,71,37,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,38,0,0,0,0,0,0
Nick McCabe,K,DP,22,500000,2026,38,50,40,13,37,26,5,14,13,19,9,14,3,3,12,28,0,5,0,71,36,45,33,5,13,5,8,0,8,2,7,1,7,2,13,3,10,12,19,10,17,38,50,18,29,20,29,17,29
Matt Canada,K,RIO,35,500000,2026,65,65,50,0,0,0,28,6,14,0,0,8,6,0,0,0,3,11,0,70,71,51,20,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,65,16,16,0,0,0,0
Sean Panfil,K,MIA,25,500000,2025,35,39,33,35,50,15,27,23,28,1,1,1,23,11,7,17,0,2,0,70,33,57,35,14,18,12,16,3,7,10,15,9,10,9,12,10,14,12,15,13,17,35,39,27,30,30,32,21,24
Lewis Gause,K,PIT,32,500000,2025,32,32,34,26,15,15,27,3,6,5,5,0,0,0,0,21,0,6,0,70,29,23,26,2,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,32,32,8,8,0,0,0,0
Trenton Butler,K,CHI,29,500000,2029,71,71,21,0,0,33,35,19,13,0,0,41,4,0,0,39,14,0,0,69,89,31,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,71,71,1,1,0,0,0,0
Nyle Rogers,K,DET,29,500000,2027,67,67,39,3,12,12,19,18,0,0,0,0,20,2,0,39,2,17,0,69,78,35,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,3,3,67,67,13,13,0,0,0,0
Cole Collinsworth,K,BAL,32,500000,2025,48,48,34,0,11,42,12,22,0,0,0,0,0,10,0,39,0,0,0,69,53,23,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,2,2,48,48,6,6,0,0,0,0
Cody Ogden,K,PHI,39,500000,2025,45,45,41,0,0,0,18,0,0,0,0,0,0,0,0,16,0,0,0,69,50,23,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45,4,4,0,0,0,0
Tyler Strong,K,NOL,33,500000,2026,42,42,44,0,25,20,0,22,26,8,0,0,0,0,0,22,0,0,0,69,46,35,26,5,5,0,0,0,0,0,0,0,0,0,0,0,0,5,5,3,3,42,42,12,12,8,8,5,5
Frank Gates,K,TPA,33,500000,2025,35,35,35,11,6,28,18,4,15,10,2,6,0,2,2,27,0,0,2,69,34,34,29,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,13,13,0,0,0,0
Riley Smith,K,LIS,33,500000,2025,47,47,22,0,9,0,0,11,0,0,0,0,0,0,0,0,0,23,0,68,52,13,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,47,1,1,0,0,0,0
Charley Anderson,K,ANC,31,500000,2025,44,44,8,9,55,38,7,19,23,27,0,3,0,1,0,40,0,4,0,67,50,55,35,4,4,5,5,0,0,0,0,0,0,0,0,4,4,22,22,19,19,44,44,26,26,46,46,37,37
Donnie Murray,K,UTA,34,500000,2026,43,43,42,0,0,40,21,8,14,0,0,0,0,0,0,24,0,0,0,67,49,14,25,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,43,4,4,0,0,0,0
Brian Newman,K,PAR,37,500000,2025,42,42,69,5,1,39,0,9,25,2,0,0,0,0,0,13,0,0,0,67,48,30,9,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,42,4,4,0,0,0,0
C.J. Johnson,K,STL,24,500000,2025,34,42,20,0,47,56,18,12,1,14,0,0,0,0,0,38,6,0,0,67,35,37,6,0,7,1,5,0,5,0,1,0,5,0,5,2,7,18,22,16,22,34,42,5,9,29,37,22,29
Eric Green,K,CGY,37,500000,2025,41,41,16,8,0,9,0,0,41,0,0,0,0,0,0,0,0,0,14,66,47,8,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,41,14,14,0,0,0,0
Colin Beatty,K,RAL,32,500000,2025,31,31,45,0,7,12,18,0,9,5,0,0,0,0,0,0,0,0,0,66,31,40,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,31,9,9,0,0,0,0
L.C. McCullough,K,IST,35,500000,2028,66,66,34,0,0,11,18,34,0,0,0,0,0,0,5,0,0,3,0,65,80,48,21,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,66,15,15,0,0,0,0
