Name,Pos,Team,Age,Contract,Exp,Ovr,Pot,Hgt,Str,Spd,End,ThV,ThP,ThA,BSc,Elu,RtR,Hnd,RBk,PBk,PCv,Tck,PRs,RnS,KPw,KAc,PPw,PAc,OvrQB,PotQB,OvrRB,PotRB,OvrWR,PotWR,OvrTE,PotTE,OvrOL,PotOL,OvrDL,PotDL,OvrLB,PotLB,OvrCB,PotCB,OvrS,PotS,OvrK,PotK,OvrP,PotP,OvrKR,PotKR,OvrPR,PotPR
Giorgio Curtis,K,UTA,26,1110000,2029,75,75,55,19,13,59,16,15,12,3,4,0,13,0,0,3,0,7,0,98,71,11,14,7,8,0,1,0,2,4,7,1,1,4,7,0,2,0,1,0,2,75,75,0,2,0,0,0,1
Chase Chatman,K,KEN,26,500000,2025,57,58,36,7,36,72,16,13,36,24,6,0,0,3,3,42,39,0,7,93,38,64,34,11,14,2,4,0,1,0,0,0,3,4,4,14,15,16,16,20,24,57,58,32,32,20,20,17,20
Darryl Green,K,RIO,31,500000,2025,48,48,35,0,0,14,0,2,0,0,0,0,1,0,0,23,0,0,0,91,31,11,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,48,2,2,0,0,0,0
Shane Giese,K,LAE,32,500000,2025,65,65,48,11,38,48,27,14,18,7,0,0,2,0,0,51,0,0,0,88,55,30,34,10,10,2,2,0,0,0,0,0,0,3,3,5,5,21,21,17,17,65,65,13,13,19,19,14,14
Jason Mafi,K,CHA,35,500000,2028,69,69,28,0,0,16,7,0,10,0,0,0,0,14,0,24,0,0,0,86,67,36,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,69,5,5,0,0,0,0
Jeremy Robinson,K,JAX,28,500000,2029,69,69,34,20,27,70,31,15,33,12,0,9,0,0,0,4,0,0,2,83,71,24,38,12,12,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,69,69,12,12,10,10,8,8
Ray Richardson,K,PHO,27,500000,2025,65,65,30,15,41,40,14,12,17,26,11,1,0,1,0,2,12,1,1,83,60,18,56,6,6,6,6,0,1,0,0,0,0,3,3,6,6,3,3,5,5,65,65,17,17,24,24,21,21
Jeremy Lemon,K,MNL,23,500000,2025,57,68,18,9,34,28,26,8,7,9,0,3,0,0,5,22,0,8,5,80,51,58,7,1,5,0,2,0,9,0,3,0,3,0,5,0,5,7,14,6,12,57,68,14,22,16,24,12,18
Jeff Mathis,K,CIN,34,500000,2026,50,50,29,0,3,60,22,24,0,16,0,0,17,1,0,3,14,1,1,79,45,34,22,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,10,10,0,0,0,0
Terence Plantz,K,WPG,37,500000,2025,42,42,30,0,3,3,21,0,27,0,0,12,0,0,8,0,8,0,0,77,37,36,31,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,42,14,14,0,0,0,0
