Name,Pos,Team,Age,Contract,Exp,Ovr,Pot,Hgt,Str,Spd,End,ThV,ThP,ThA,BSc,Elu,RtR,Hnd,RBk,PBk,PCv,Tck,PRs,RnS,KPw,KAc,PPw,PAc,OvrQB,PotQB,OvrRB,PotRB,OvrWR,PotWR,OvrTE,PotTE,OvrOL,PotOL,OvrDL,PotDL,OvrLB,PotLB,OvrCB,PotCB,OvrS,PotS,OvrK,PotK,OvrP,PotP,OvrKR,PotKR,OvrPR,PotPR
Kyle Brown,K,SEA,25,500000,2027,62,65,27,29,24,60,25,8,15,5,0,15,4,0,0,17,0,8,0,83,53,21,8,4,5,1,1,0,1,1,2,1,2,3,6,2,7,2,5,2,6,62,65,0,4,7,12,4,7
Jared Crawford,K,KEN,28,500000,2028,62,62,37,11,37,26,6,23,18,14,0,0,0,0,0,0,0,0,0,81,54,43,6,6,6,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,62,62,8,8,19,19,15,15
Ryan Aaron,K,MLB,25,500000,2025,62,64,34,2,17,82,8,21,23,4,5,11,6,0,6,7,0,0,0,80,55,37,7,4,8,0,0,0,1,0,4,0,2,0,4,0,0,0,1,0,0,62,64,5,9,0,2,0,1
Tyler Gordon,K,KAU,25,500000,2025,43,47,11,5,11,25,17,19,28,0,14,6,0,0,0,67,8,20,0,80,36,59,10,3,4,0,3,0,1,0,2,0,3,0,1,0,4,15,20,12,13,43,47,15,20,0,4,0,5
Parker Jones,K,PHI,28,500000,2026,59,59,53,39,64,73,27,12,18,0,8,14,9,3,4,21,9,7,1,79,53,29,9,15,15,18,18,4,4,13,13,13,13,18,18,20,20,20,20,22,22,59,59,3,3,51,51,35,35
Gerald Avery,K,OTT,28,500000,2028,71,71,39,23,39,17,22,29,9,17,5,23,0,0,22,33,3,3,0,78,81,39,21,10,10,7,8,0,0,5,5,6,6,5,5,7,7,14,14,13,13,71,71,11,11,21,21,18,18
Ryan Carter,K,NJ,29,500000,2025,69,69,22,28,31,28,1,16,15,13,0,2,4,0,0,12,0,0,6,78,75,36,18,1,1,2,2,0,0,0,0,0,0,3,3,3,3,2,2,3,3,69,69,9,9,14,14,12,12
Johnnie Franklin,K,LON,25,500000,2027,48,50,44,8,44,55,8,14,13,3,15,2,0,17,3,8,0,0,0,76,46,36,5,5,6,7,8,0,1,1,2,2,6,2,5,3,7,7,8,6,7,48,50,5,6,22,27,16,20
Nick McLeod,K,WPG,25,610000,2029,75,81,12,18,11,32,25,31,7,28,5,1,4,2,1,16,6,0,0,75,94,24,16,5,6,0,3,0,4,0,0,0,0,0,5,0,3,0,2,0,0,75,81,4,5,0,1,2,7
Randy Mashburn,K,RAL,27,500000,2025,42,42,14,4,42,20,36,19,19,13,2,0,0,0,0,0,0,0,13,75,40,25,37,8,9,0,0,0,1,0,0,0,1,0,0,0,0,2,2,2,2,42,42,12,13,23,23,18,18
