Name,Pos,Team,Age,Contract,Exp,Ovr,Pot,Hgt,Str,Spd,End,ThV,ThP,ThA,BSc,Elu,RtR,Hnd,RBk,PBk,PCv,Tck,PRs,RnS,KPw,KAc,PPw,PAc,OvrQB,PotQB,OvrRB,PotRB,OvrWR,PotWR,OvrTE,PotTE,OvrOL,PotOL,OvrDL,PotDL,OvrLB,PotLB,OvrCB,PotCB,OvrS,PotS,OvrK,PotK,OvrP,PotP,OvrKR,PotKR,OvrPR,PotPR
Darrell Palumbo,K,CLE,27,610000,2027,71,71,13,29,4,19,18,0,18,17,0,0,0,1,6,30,14,6,0,90,69,53,7,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,71,71,11,12,0,1,0,2
Phil Sunahara,K,DEN,22,900000,2029,73,89,25,14,27,30,40,0,22,13,5,31,4,20,0,16,17,0,3,88,76,34,18,7,15,1,3,0,9,2,8,0,5,0,10,4,12,3,10,5,12,73,89,8,14,10,16,8,17
Sam Stowe,K,CHI,27,500000,2025,38,38,13,4,65,33,13,8,5,0,0,0,0,3,21,2,12,17,15,86,23,23,23,0,0,6,6,0,0,0,1,0,0,4,4,9,9,11,12,13,13,38,38,6,6,52,52,34,35
Myles Mika,K,BKN,35,500000,2025,41,41,43,0,0,13,9,8,8,6,0,0,0,0,1,23,11,6,2,81,31,12,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,41,4,4,0,0,0,0
Max Plunkett,K,JAX,32,500000,2026,48,48,30,22,24,14,17,24,20,24,0,0,0,2,0,14,18,16,0,80,42,54,18,8,8,0,0,0,0,0,0,0,0,4,4,7,7,1,1,4,4,48,48,16,16,10,10,10,10
Ed Costain,K,CIN,27,900000,2027,75,75,13,9,34,71,8,9,18,3,1,5,0,1,3,24,23,1,0,79,100,41,47,0,0,0,0,0,0,0,0,0,0,0,0,5,5,8,8,10,10,75,75,24,24,14,15,10,10
Jonathan McLaughlin,K,CHA,32,500000,2028,67,67,51,10,0,21,15,7,21,5,0,0,0,0,0,11,0,0,0,79,68,20,36,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,67,10,10,0,0,0,0
Ron Dunn,K,MLB,38,500000,2025,50,50,37,1,0,0,4,16,0,0,8,0,0,0,0,10,0,0,0,79,44,55,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,16,16,0,0,0,0
Robert Davis,K,SEA,29,500000,2026,62,62,23,7,59,49,25,37,51,14,10,2,0,0,2,0,0,0,0,77,58,29,21,20,20,9,9,0,0,0,0,0,0,0,0,3,3,9,9,9,9,62,62,8,8,47,47,34,34
Tim Blalock,K,SIN,25,500000,2026,42,47,49,20,49,46,39,16,28,18,19,0,1,3,5,20,0,9,0,76,38,35,34,19,21,13,14,0,4,3,6,5,9,8,10,9,13,13,15,13,18,42,47,15,16,33,37,24,28
Mike Butterfield,K,HAW,36,500000,2028,67,67,37,0,5,53,9,5,0,14,2,0,0,0,0,0,0,0,0,75,72,7,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,67,1,1,0,0,0,0
Tywan Howie,K,OKC,36,500000,2026,62,62,40,10,0,0,34,0,9,0,0,0,0,0,0,23,0,0,0,74,62,44,16,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,62,11,11,0,0,0,0
Lowell Woods,K,BAL,26,560000,2029,68,68,38,31,58,58,7,49,43,3,20,0,0,1,4,33,2,9,3,72,78,33,31,21,21,16,19,0,3,3,3,7,8,11,11,14,15,21,21,21,25,68,68,13,15,42,46,28,31
Adam Frank,K,QUE,30,500000,2027,67,67,32,23,33,28,19,5,2,7,0,0,0,3,18,20,1,0,4,72,75,46,12,1,1,2,2,0,0,0,0,4,4,3,3,4,4,7,7,6,6,67,67,11,11,15,15,11,11
Grant Miller,K,PRO,28,500000,2027,57,57,27,31,27,25,37,33,12,9,0,0,0,0,0,26,0,1,4,72,59,33,1,12,12,1,2,0,0,0,0,2,2,4,4,4,4,6,6,6,6,57,57,2,2,10,10,8,8
Ty Carter,K,MXC,28,500000,2027,56,56,46,33,56,48,6,25,19,21,23,1,64,11,8,37,0,5,0,72,57,37,36,13,13,28,28,24,24,25,25,11,11,12,12,14,14,23,23,21,21,56,56,17,17,45,45,35,35
Brian Mosley,K,BOS,26,500000,2025,29,29,36,0,23,27,14,2,15,0,0,0,0,0,15,4,0,10,0,72,22,10,38,0,1,0,2,0,3,0,1,0,0,0,3,0,1,0,1,0,1,29,29,7,10,4,7,1,3
Adam Harris,K,LAE,25,500000,2025,40,44,37,7,56,35,7,4,14,16,0,0,27,1,1,5,18,9,0,71,40,43,6,3,6,9,12,6,11,6,8,0,0,5,6,10,15,10,12,13,14,40,44,8,9,44,46,32,36
Shaun Williams,K,BEI,28,500000,2025,38,38,39,15,32,13,17,1,33,17,0,5,0,0,0,0,5,0,3,71,38,19,23,8,8,1,2,0,0,0,1,0,0,2,2,2,2,0,0,0,0,38,38,5,5,15,15,13,13
David Brown,K,JKT,22,500000,2028,63,78,56,4,14,19,30,7,3,2,0,2,4,0,0,29,0,0,0,70,68,47,27,5,13,0,1,0,9,0,5,0,6,0,9,0,9,4,11,1,7,63,78,17,25,0,6,0,7
Jermaine Gulley,K,NYC,33,500000,2027,65,65,57,35,44,29,49,30,1,17,0,0,0,16,29,28,4,0,2,70,74,18,47,18,18,10,10,0,0,11,11,17,17,13,13,13,13,15,15,15,15,65,65,14,14,27,27,22,22
Ryan Walker,K,CAI,25,500000,2025,50,53,31,19,53,34,2,2,23,7,7,14,0,0,0,34,0,0,0,70,53,45,23,3,7,9,11,0,3,1,5,1,2,4,5,8,9,20,23,18,24,50,53,14,17,36,41,24,26
Adam Delgado,K,MIL,25,500000,2025,43,48,50,25,48,37,15,20,18,6,0,0,0,0,0,31,8,5,0,70,46,34,31,11,16,7,8,0,5,3,4,5,5,10,13,13,18,17,20,17,21,43,48,14,18,29,32,21,23
Kenneth Rancifer,K,MAD,32,500000,2026,41,41,27,8,32,1,11,8,18,18,0,0,0,0,0,13,0,0,0,70,43,31,18,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,41,41,8,8,15,15,13,13
Will MacLean,K,LV,30,500000,2025,27,27,27,23,19,25,23,12,1,0,0,21,0,8,0,48,0,0,0,70,22,50,24,0,0,0,0,0,0,0,0,0,0,0,0,1,1,12,12,9,9,27,27,17,17,1,1,0,0
Tanner Burdette,K,IST,25,500000,2029,65,69,45,26,45,38,7,7,17,6,0,1,16,0,0,1,8,8,0,69,73,25,7,5,9,8,9,2,4,7,9,5,6,9,10,10,12,4,6,7,12,65,69,1,2,24,27,19,21
Bryant Johnson,K,ANC,26,500000,2026,65,68,29,23,27,23,3,32,23,16,0,9,5,0,0,36,26,2,3,69,75,45,33,7,10,1,2,0,1,0,0,0,0,4,7,10,11,10,10,13,13,65,68,18,19,11,11,9,12
