Name,Pos,Team,Age,Contract,Exp,Ovr,Pot,Hgt,Str,Spd,End,ThV,ThP,ThA,BSc,Elu,RtR,Hnd,RBk,PBk,PCv,Tck,PRs,RnS,KPw,KAc,PPw,PAc,OvrQB,PotQB,OvrRB,PotRB,OvrWR,PotWR,OvrTE,PotTE,OvrOL,PotOL,OvrDL,PotDL,OvrLB,PotLB,OvrCB,PotCB,OvrS,PotS,OvrK,PotK,OvrP,PotP,OvrKR,PotKR,OvrPR,PotPR
Steve Rosburg,K,TPA,32,500000,2027,75,75,24,28,38,20,63,27,0,19,0,0,0,0,1,24,20,23,17,91,80,28,7,14,14,4,4,0,0,0,0,1,1,10,10,14,14,10,10,13,13,75,75,2,2,21,21,18,18
Brandon Robbins,K,CAI,25,1050000,2029,75,81,38,62,42,76,22,16,34,27,1,0,0,8,4,7,14,48,15,88,87,76,20,17,21,14,18,0,2,9,11,17,21,25,29,23,28,5,8,11,15,75,81,30,32,27,29,25,31
Eddie Bennett,K,SEL,35,500000,2026,69,69,45,0,4,0,5,29,30,4,14,0,0,0,0,5,4,0,32,86,68,44,28,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,69,16,16,0,0,0,0
Gary Korn,K,SIN,31,500000,2027,64,64,46,24,21,32,37,26,0,4,0,0,2,0,4,17,0,0,0,80,59,19,27,10,10,0,0,0,0,1,1,3,3,4,4,2,2,1,1,1,1,64,64,6,6,4,4,2,2
Carlton Lewis,K,IND,23,500000,2028,69,79,9,15,37,37,4,36,6,34,8,0,6,0,0,4,0,0,0,78,75,27,31,3,8,4,5,0,8,0,2,0,4,0,6,0,6,1,9,2,9,69,79,11,17,22,32,21,31
Dan Cook,K,SYD,29,640000,2027,75,75,18,29,36,99,17,28,16,22,6,0,2,11,0,30,0,0,5,78,91,50,24,8,8,6,6,0,0,0,0,2,2,3,3,5,5,11,11,10,10,75,75,17,17,20,20,18,18
Roscoe Rosette,K,LA,37,500000,2025,41,41,23,0,0,4,0,29,13,0,0,0,0,0,0,15,0,0,0,78,35,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,41,0,0,0,0,0,0
Bronson Gordon,K,HOU,29,500000,2025,36,36,39,2,51,55,2,5,15,22,5,0,2,2,0,36,5,0,4,78,27,28,1,2,2,6,6,0,0,0,0,0,0,2,2,6,6,20,20,18,18,36,36,0,0,38,38,28,28
Justin Burston,K,OTT,32,500000,2025,44,44,50,2,21,39,42,0,13,22,0,0,0,0,9,2,21,0,0,77,41,23,10,9,9,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,44,44,2,2,7,7,6,6
Donnie Nickson,K,HAW,28,670000,2029,74,74,28,2,51,49,0,2,29,4,16,0,0,0,0,6,0,0,0,75,92,31,6,2,2,6,6,0,0,0,0,0,0,0,0,1,1,8,8,7,7,74,74,3,3,31,31,21,21
Jawan O'Brien,K,BUE,35,500000,2027,56,56,28,0,0,54,0,0,0,0,20,0,0,0,0,35,12,0,0,75,54,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,56,0,0,0,0,0,0
Andrew Polston,K,VAN,31,500000,2025,35,35,32,10,3,0,5,0,0,1,0,0,26,0,0,0,0,0,0,75,28,15,19,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,35,35,2,2,0,0,0,0
Joe Johnson,K,MNL,26,500000,2029,65,67,29,1,35,15,8,17,26,46,6,12,8,7,3,8,0,0,5,74,70,33,6,7,7,3,3,0,3,0,2,0,2,0,1,0,3,3,3,2,4,65,67,4,4,23,23,23,26
Mario Atkins,K,TPA,33,500000,2025,38,38,52,0,9,22,12,13,12,12,0,0,6,0,0,6,0,1,0,74,34,14,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,38,0,0,0,0,0,0
Robert Doty,K,BKN,28,500000,2026,68,68,41,18,60,38,7,18,21,5,6,0,8,3,0,26,9,0,0,73,76,50,17,9,9,11,11,0,0,4,4,3,3,8,8,12,12,20,20,20,20,68,68,14,14,46,46,31,31
Alex Glaser,K,MIA,28,500000,2026,64,64,45,9,41,30,12,39,18,15,0,0,0,0,0,13,5,0,0,73,67,34,20,12,12,2,2,0,0,0,0,0,0,3,3,4,4,8,8,7,7,64,64,9,9,23,23,18,18
Jacob Wolf,K,MON,28,500000,2028,57,57,46,1,46,62,0,22,19,20,0,14,0,0,36,7,1,0,14,73,58,51,26,7,7,4,4,0,0,3,3,3,3,3,3,3,3,7,7,6,6,57,57,18,18,30,30,23,23
Eddie Carpenter,K,VAN,24,500000,2025,39,44,12,25,29,20,2,14,20,16,0,7,0,6,0,26,1,0,7,73,37,38,29,0,3,0,3,0,3,0,2,0,4,0,5,2,6,7,12,6,11,39,44,14,18,13,16,11,16
Alex Troupe,K,WPG,32,500000,2025,37,37,25,11,37,0,0,15,0,11,0,0,1,1,3,13,0,3,24,73,33,39,37,0,0,0,0,0,0,0,0,0,0,2,2,2,2,5,5,5,5,37,37,17,17,18,18,14,14
Devon Gambrell,K,NOL,32,500000,2025,32,32,29,23,0,17,40,9,0,5,10,0,0,0,0,14,0,0,0,73,25,45,18,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,13,13,0,0,0,0
Troy Wilson,CB,FA,26,500000,2025,32,34,16,8,47,7,2,14,15,15,0,0,0,0,14,66,0,16,0,73,23,46,14,0,3,2,3,0,1,0,0,0,1,0,0,5,6,32,34,24,26,30,30,11,14,30,32,22,25
